0x00   NOP
0x01   OUTL BUS,A
0x03DB ADD A,0xDB
0x03DC ADD A,0xDC
0x03DD ADD A,0xDD
0x03DE ADD A,0xDE
0x03DF ADD A,0xDF
0x03E0 ADD A,0xE0
0x03E1 ADD A,0xE1
0x03E2 ADD A,0xE2
0x03E3 ADD A,0xE3
0x03E4 ADD A,0xE4
0x03E5 ADD A,0xE5
0x03E6 ADD A,0xE6
0x03E7 ADD A,0xE7
0x03E8 ADD A,0xE8
0x03E9 ADD A,0xE9
0x03EA ADD A,0xEA
0x03EB ADD A,0xEB
0x03EC ADD A,0xEC
0x03ED ADD A,0xED
0x03EE ADD A,0xEE
0x03EF ADD A,0xEF
0x03F0 ADD A,0xF0
0x03F1 ADD A,0xF1
0x03F2 ADD A,0xF2
0x03F3 ADD A,0xF3
0x03F4 ADD A,0xF4
0x03F5 ADD A,0xF5
0x03F6 ADD A,0xF6
0x03F7 ADD A,0xF7
0x03F8 ADD A,0xF8
0x03F9 ADD A,0xF9
0x03FA ADD A,0xFA
0x03FB ADD A,0xFB
0x03FC ADD A,0xFC
0x03FD ADD A,0xFD
0x03FE ADD A,0xFE
0x03FF ADD A,0xFF
0x0400 JMP 0x000
0x0401 JMP 0x001
0x0402 JMP 0x002
0x0403 JMP 0x003
0x0404 JMP 0x004
0x0405 JMP 0x005
0x0406 JMP 0x006
0x0407 JMP 0x007
0x0408 JMP 0x008
0x0409 JMP 0x009
0x040A JMP 0x00A
0x040B JMP 0x00B
0x040C JMP 0x00C
0x040D JMP 0x00D
0x040E JMP 0x00E
0x040F JMP 0x00F
0x0410 JMP 0x010
0x0411 JMP 0x011
0x0412 JMP 0x012
0x0413 JMP 0x013
0x0414 JMP 0x014
0x0415 JMP 0x015
0x0416 JMP 0x016
0x0417 JMP 0x017
0x0418 JMP 0x018
0x0419 JMP 0x019
0x041A JMP 0x01A
0x041B JMP 0x01B
0x041C JMP 0x01C
0x041D JMP 0x01D
0x041E JMP 0x01E
0x041F JMP 0x01F
0x0420 JMP 0x020
0x0421 JMP 0x021
0x0422 JMP 0x022
0x0423 JMP 0x023
0x0424 JMP 0x024
0x0425 JMP 0x025
0x0426 JMP 0x026
0x0427 JMP 0x027
0x0428 JMP 0x028
0x0429 JMP 0x029
0x042A JMP 0x02A
0x042B JMP 0x02B
0x042C JMP 0x02C
0x042D JMP 0x02D
0x042E JMP 0x02E
0x042F JMP 0x02F
0x0430 JMP 0x030
0x0431 JMP 0x031
0x0432 JMP 0x032
0x0433 JMP 0x033
0x0434 JMP 0x034
0x0435 JMP 0x035
0x0436 JMP 0x036
0x0437 JMP 0x037
0x0438 JMP 0x038
0x0439 JMP 0x039
0x043A JMP 0x03A
0x043B JMP 0x03B
0x043C JMP 0x03C
0x043D JMP 0x03D
0x043E JMP 0x03E
0x043F JMP 0x03F
0x0440 JMP 0x040
0x0441 JMP 0x041
0x0442 JMP 0x042
0x0443 JMP 0x043
0x0444 JMP 0x044
0x0445 JMP 0x045
0x0446 JMP 0x046
0x0447 JMP 0x047
0x0448 JMP 0x048
0x0449 JMP 0x049
0x044A JMP 0x04A
0x044B JMP 0x04B
0x044C JMP 0x04C
0x044D JMP 0x04D
0x044E JMP 0x04E
0x044F JMP 0x04F
0x0450 JMP 0x050
0x0451 JMP 0x051
0x0452 JMP 0x052
0x0453 JMP 0x053
0x0454 JMP 0x054
0x0455 JMP 0x055
0x0456 JMP 0x056
0x0457 JMP 0x057
0x0458 JMP 0x058
0x0459 JMP 0x059
0x045A JMP 0x05A
0x045B JMP 0x05B
0x045C JMP 0x05C
0x045D JMP 0x05D
0x045E JMP 0x05E
0x045F JMP 0x05F
0x0460 JMP 0x060
0x0461 JMP 0x061
0x0462 JMP 0x062
0x0463 JMP 0x063
0x0464 JMP 0x064
0x0465 JMP 0x065
0x0466 JMP 0x066
0x0467 JMP 0x067
0x0468 JMP 0x068
0x0469 JMP 0x069
0x046A JMP 0x06A
0x046B JMP 0x06B
0x046C JMP 0x06C
0x046D JMP 0x06D
0x046E JMP 0x06E
0x046F JMP 0x06F
0x0470 JMP 0x070
0x0471 JMP 0x071
0x0472 JMP 0x072
0x0473 JMP 0x073
0x0474 JMP 0x074
0x0475 JMP 0x075
0x0476 JMP 0x076
0x0477 JMP 0x077
0x0478 JMP 0x078
0x0479 JMP 0x079
0x047A JMP 0x07A
0x047B JMP 0x07B
0x047C JMP 0x07C
0x047D JMP 0x07D
0x047E JMP 0x07E
0x047F JMP 0x07F
0x0480 JMP 0x080
0x0481 JMP 0x081
0x0482 JMP 0x082
0x0483 JMP 0x083
0x0484 JMP 0x084
0x0485 JMP 0x085
0x0486 JMP 0x086
0x0487 JMP 0x087
0x0488 JMP 0x088
0x0489 JMP 0x089
0x048A JMP 0x08A
0x048B JMP 0x08B
0x048C JMP 0x08C
0x048D JMP 0x08D
0x048E JMP 0x08E
0x048F JMP 0x08F
0x0490 JMP 0x090
0x0491 JMP 0x091
0x0492 JMP 0x092
0x0493 JMP 0x093
0x0494 JMP 0x094
0x0495 JMP 0x095
0x0496 JMP 0x096
0x0497 JMP 0x097
0x0498 JMP 0x098
0x0499 JMP 0x099
0x049A JMP 0x09A
0x049B JMP 0x09B
0x049C JMP 0x09C
0x049D JMP 0x09D
0x049E JMP 0x09E
0x049F JMP 0x09F
0x04A0 JMP 0x0A0
0x04A1 JMP 0x0A1
0x04A2 JMP 0x0A2
0x04A3 JMP 0x0A3
0x04A4 JMP 0x0A4
0x04A5 JMP 0x0A5
0x04A6 JMP 0x0A6
0x04A7 JMP 0x0A7
0x04A8 JMP 0x0A8
0x04A9 JMP 0x0A9
0x04AA JMP 0x0AA
0x04AB JMP 0x0AB
0x04AC JMP 0x0AC
0x04AD JMP 0x0AD
0x04AE JMP 0x0AE
0x04AF JMP 0x0AF
0x04B0 JMP 0x0B0
0x04B1 JMP 0x0B1
0x04B2 JMP 0x0B2
0x04B3 JMP 0x0B3
0x04B4 JMP 0x0B4
0x04B5 JMP 0x0B5
0x04B6 JMP 0x0B6
0x04B7 JMP 0x0B7
0x04B8 JMP 0x0B8
0x04B9 JMP 0x0B9
0x04BA JMP 0x0BA
0x04BB JMP 0x0BB
0x04BC JMP 0x0BC
0x04BD JMP 0x0BD
0x04BE JMP 0x0BE
0x04BF JMP 0x0BF
0x04C0 JMP 0x0C0
